ru,en
Основными были времяпролетные режимы; использовались нейтроны с длинами волн от 0.09 до 0.5 нм при разрешении по длине волны 0.006 нм; в режиме с постоянной длиной волны – нейтроны с длиной волны около 0.2 нм и относительным разрешением по длине волны около 7%.,"The time-of-flight modes were the basic ones; neutrons with wavelengths from 0.09 to 0.5 nm at a wavelength resolution of 0.006 nm were used. In the cw mode, neutrons had a wavelength of about 0.2 nm, and the relative wavelength resolution was about 7%."
Доступный диапазон по переданному импульсу: от 0.03 до 3 нм–1.,The available momentum transfer range was from 0.03 to 3 nm–1.
На рефлектометре НР-4М также была отлажена схема нейтронной рефлектометрии с векторным анализом поляризации для монохроматического пучка [38].,A neutron reflectometry scheme with vector analysis of polarization for a monochromatic beam was also adjusted on the NR-4М reflectometer [38].
,
"В настоящее время в России действуют три рефлектометра, установленные на импульсном реакторе ИБР-2 в ЛНФ ОИЯИ: времяпролетные рефлектометры РЕМУР, ГРЭИНС и РЕФЛЕКС, каждый из которых ориентирован на определенный круг задач.","Currently, there are three functioning reflectometers in Russia, which are installed on the pulsed reactor IBR-2 at the Laboratory of Neutron Physics of JINR. These are time-of-flight reflectometers REMUR, GRAINS, and REFLEX. Each is aimed at solving a certain circle of problems."
Установки включены в систему пользователей реактора ИБР-2 и на них активно проводятся эксперименты по широкому спектру направлений исследователями со всего мира.,They are included in the community of users of the IBR-2 reactor. Researchers all over the world perform active experiments on them in diverse fields of research.
Реактор ИБР-2 – реактор периодического действия.,The reactor IBR-2 is of periodic action.
Нейтронные импульсы следуют с частотой 5 Гц.,The neutron pulse repetition frequency is 5 Hz.
"В настоящее время средняя по времени тепловая мощность источника составляет 1.5 МВт, при этом очень высокая импульсная мощность около 1400 МВт обеспечивает плотность потока тепловых нейтронов на поверхности замедлителя порядка 1015 н см–2 с–1.","Currently, the time-averaged thermal power of the source is 1.5 MW; the very high pulsed power (of about 1400 MW) provides a thermal neutron fluence on the moderator surface on the order of 1015 n cm–2 s–1."
,
Рефлектометр поляризованных нейтронов с вертикальной плоскостью образца РЕМУР [39] введен в эксплуатацию в 2004 г.,The polarized-neutron reflectometer with a vertical sample plane (REMUR) [39] was put into operation in 2004.
"Установка была создана как результат масштабной модернизации рефлектометра СПН-1 [40], запущенного одновременно с началом работы импульсного реактора ИБР-2 в 1984 г.","This system was developed as a result of wide-scale upgrade of the reflectometer SPN-1 [40], which was launched simultaneously with the onset of operation of pulsed IBR-2 reactor in 1984."
"Установка СПН-1 создавалась в тесной кооперации с Лабораторией нейтронных исследований ПИЯФ (г. Гатчина), где техника работы с поляризованными нейтронами и технологии создания нейтронно-оптических систем были развиты до уровня мирового класса.","The SPN-1 installation was created in close cooperation with the Neutron Research Division of the PNPI (Gatchina), where the methodology of operation with polarized neutrons and the technologies for designing neutron-optical systems have been developed to the world-class level."
"На новом рефлектометре был выполнен ряд комплексных исследований, таких как изучение магнитного профиля ПДР керамических и металлических сверхпроводящих пленок во внешнем магнитном поле в широком диапазоне температур [41–44], изучение слоистых наноструктур в режиме стоячих волн [9] и другие.","A series of complex studies were performed on the new reflectometer: analysis of the magnetic SLD profile of ceramic and metal superconducting films in an external magnetic field in a wide temperature range [41–44], investigation of layered nanostructures in the standing-wave mode [9], etc."
,
С точки зрения реализации метода рефлектометрии поляризованных нейтронов РЕМУР является на сегодня самым оснащенным рефлектометром в РФ.,"From the point of view of implementation of polarized-neutron reflectometry, REMUR is currently one of the best equipped reflectometers in the Russian Federation."
"Установка расположена на источнике холодных нейтронов (ИХН) реактора ИБР-2, который обеспечивает ее нейтронами в широком спектральном интервале 0.09–1.5 нм.","It is located on cold-neutron source (CNS) of the IBR-2 reactor, which provides it with neutrons in a wide spectral range: from 0.09 to 1.5 nm."
"Полный поляризационный анализ, широкоугольный веерный анализатор поляризации для работы с диффузно рассеянными нейтронами, возможность работы в широком диапазоне магнитных полей и температур делают эту установку уникальной в России [9].","Such features as the complete polarization analysis, the presence of wide-angle fan-shaped polarization analyzer for operation with diffusively scattered neutrons, and the possibility of operation in a wide range of magnetic fields and temperatures make this system unique in Russia [9]."
"На рефлектометре РЕМУР реализована схема полного рефлектометрического эксперимента [3], при котором измеряются все возможные каналы рассеяния: зеркальный, незеркальный и МУРН-СП (рис. 3).","A scheme of complete reflectometric experiment is implemented on the REMUR reflectometer [3], in which all possible scattering channels are measured: specular, nonspecular, and GISANS (Fig. 3)."
,
"Недавно рефлектометр РЕМУР приобрел новое качество, которое заключается в возможности определения пространственного распределения изотопов отдельных элементов в наноструктурах.",Recently the REMUR reflectometer has acquired a new qualitative feature: a possibility of determining the spatial distribution of isotopes of individual elements in nanostructures.
"Методика основана на регистрации вторичного гамма-излучения, которое может возникнуть при поглощении нейтрона определенным изотопом.",This technique is based on detecting the secondary γ radiation that may arise as a result of absorption of a neutron by a certain isotope.
"Настраивая детектирующую аппаратуру на регистрацию гамма-излучения с определенной энергией, можно идентифицировать конкретный изотоп.","Tuning the detection equipment to registration of γ quanta of certain energy, one can identify a specific isotope."
"А зная при этом распределение волновой функции нейтрона в изучаемой структуре, можно получить информацию о конкретном положении изотопа.","And, knowing the distribution of the neutron wave function in the structure studied, one can gain information about the specific position of the isotope."
Метод получил название изотопно-идентифицирующей нейтронной рефлектометрии [45].,This method was referred to as isotope-indentifying neutron reflectometry [45].
,
Нейтронный рефлектометр с горизонтальной плоскостью образца ГРЭИНС [46] на реакторе ИБР-2 введен в эксплуатацию в 2013 г.,The neutron reflectometer with a horizontal sample plane (GRAINS) [46] on the IBR-2 reactor was put into operation in 2013.
"Установка расположена на ИХН и предназначена для исследований границ раздела, содержащих жидкие фазы.",This instrument is located on the CNS and is designed to study interfaces containing liquid phases.
"Образец для измерений устанавливается в положении, при котором плоскость падающего и рассеянного излучений ориентирована вертикально.",A sample analyzed is installed in the position at which the planes of incident and scattered radiations are oriented vertically.
"Система формирования пучка может направлять падающий пучок (в настоящее время – неполяризованные нейтроны) как сверху вниз на исследуемую границу раздела, так и снизу вверх.","The beam formation system can direct the incident beam (currently, unpolarized neutron beam) on the interface studied in either downward or upward direction."
,
"Текущая научная программа рефлектометра преимущественно концентрируется на исследованиях границ раздела, содержащих сложные коллоидные растворы, такие как суспензии магнитных частиц (магнитные жидкости), полимерные расплавы, а также смешанные системы с биологическими макромолекулами.","The current research performed on the reflectometer is mainly focused on the interfaces containing complex colloidal solutions, such as suspensions of magnetic particles (magnetic fluids), polymer melts, and mixed systems with biological macromolecules."
"Также активно развиваются возможности изучения электрохимических границ раздела с жидкими электролитами [47, 48].","Possibilities of studying electrochemical interfaces with liquid electrolytes are also being actively developed [47, 48]."
В качестве примера на рис. 4 представлена схема рефлектометрического эксперимента по контролю поверхности анода в процессе работы модели элемента питания.,"As an example, Fig. 4 shows a schematic of reflectometric experiment on monitoring the anode surface during operation of a battery model."
"Пучок нейтронов проходит сквозь кремниевую пластину, отражается от анодного слоя, нанесенного на кремниевую пластину, на котором формируется слой SEI.",A neutron beam passes through a silicon plate and reflects off from an anode layer deposited on the silicon plate on which a solid electrolyte interface (SEI) layer is formed.
Пространство между анодным слоем и катодной пластиной заполняет жидкий электролит (0.1 М перхлората лития LiClO4 в пропиленкарбонате).,The space between the anode layer and cathode plate is filled with a liquid electrolyte (0.1 M lithium perchlorate LiClO4 in propylene carbonate).
"Формирующийся слой SEI в процессе работы аккумулятора меняет профиль ПДР структуры (вставка внизу справа) кремниевая пластина–металлический анодный слой, что отражается на изменении коэффициента отражения от системы (вставка слева).","The SEI layer formed during battery operation changes the SLD profile of the silicon plate–metal anode layer structure (the inset in the bottom right corner), which manifests itself in a change in the reflectance of the system (the inset on the left)."
"Верхний график соответствует дейтерированному пропиленкарбонату, нижний – протонированному пропиленкарбонату.","The top and bottom plots correspond to deuterated and protonated propylene carbonates, respectively."
Эксперимент проводился in situ на специально сконструированной электрохимической ячейке.,The experiment was performed in situ in a specially designed electrochemical cell.
,
"Рефлектометр поляризованных нейтронов с вертикальной плоскостью образца РЕФЛЕКС предназначен преимущественно для методических разработок, связанных с использованием поляризованных нейтронов.",The polarized-neutron reflectometer with a vertical sample plane (REFLEX) is designed mainly for methodical developments related to the use of polarized neutrons.
На нем изучаются и отрабатываются перспективные подходы для дальнейшего применения в методах магнитной рефлектометрии.,Promising approaches for further application in magnetic reflectometry methods are being studied and elaborated on it.
"Данной цели рефлектометр служит с 2002 г. после масштабной модернизации его предшественника, рефлектометра РЕФЛЕКС-П [49], который был создан в 1992 г.","The reflectometer is used to this end since 2002 after the wide-scale upgrade of its precursor, the reflectometer REFLEX P [49], which was developed in 1992."
"Он расположен на тангенциальном канале реактора ИБР-2, т.е. пучок формируется потоком нейтронов с торцевой части замедлителя.","It is located in the tangential channel of IBR-2 reactor; i.e., the beam is formed by the neutron flux from the end part of the moderator."
"Кроме этого, в районе шиберного отверстия располагаются технологические системы реактора и комплекса холодных замедлителей.","In addition, technological systems of the reactor and a complex of cold moderators are located near the gate opening."
"Эти обстоятельства ограничивают возможности для оптимального размещения систем формирования пучка – нейтроноводов, прерывателей, коллиматоров.","These facts limit the possibilities of optimal arrangement of beam formation systems: neutron guides, choppers, and collimators."
В результате установка несколько проигрывает двум другим рефлектометрам на реакторе ИБР-2 в величине плотности потока на образце.,"As a result, the system is somewhat inferior to the other two reflectometers on the IBR-2 reactor in the fluence on the sample."
Из-за этого функциональность установки как рефлектометра с поляризованными нейтронами ограничена из-за отсутствия возможности низкотемпературных измерений.,"Thus, the functionality of the system as a polarized-neutron reflectometer is limited because low-temperature measurements cannot be performed on it."
Однако рефлектометр РЕФЛЕКС занимает важную нишу методического инструмента.,"However, the REFLEX reflectometer is important as a methodical instrument."
"Все элементы рефлектометра установлены таким образом, что могут быть оперативно использованы для быстрого монтажа требуемой конфигурации той или иной измерительной методики.",All reflectometer elements were positioned so as to allow one to use them operatively in fast mounting of a desired configuration of particular measuring technique.
Данная особенность вместе с возможностью варьировать в больших диапазонах коллимацию пучка и расстояния между узлами делает рефлектометр РЕФЛЕКС крайне эффективной установкой для методических исследований,"This feature, along with the possibility of varying the beam collimation and the distance between units in wide ranges makes the REFLEX reflectometer a highly efficient system for methodical studies."
,
В ИЯИ РАН на импульсном источнике медленных нейтронов ИН-06 на основе линейного ускорителя протонов действует рефлектометр с горизонтальным размещением образца ГОРИЗОНТ [50].,"There is a functioning reflectometer with a horizontal sample arrangement (GORIZONT) on a pulsed slow neutron source IN-06, based on a linear proton accelerator at the INR RAS [50]."
"На установке реализована вертикальная плоскость рассеяния, т.е. на нем возможны исследования границ раздела с жидкостями.","The vertical scattering plane is implemented in the system; i.e., it makes possible to study interfaces with liquids."
Рефлектометр был запущен в эксплуатацию в 2010 г. в сотрудничестве с НИЦ КИ ПИЯФ.,This reflectometer was put into operation in 2010 in cooperation with the NRC KI PNPI.
По времени запуска в эксплуатацию это первый в России рефлектометр с вертикальной плоскостью рассеяния.,"Concerning the commissioning time, this is the first in Russia reflectometer with a vertical scattering plane."
Работа установки в настоящее время осуществляется в ограниченном режиме из-за особенностей работы источника нейтронов.,The system is currently functioning under some limitations because of the specific features of neutron source operation.
,
,
,
ПЕРСПЕКТИВЫ РАЗВИТИЯ МЕТОДА НЕЙТРОННОЙ РЕФЛЕКТОМЕТРИИ НА РОССИЙСКИХ НЕЙТРОННЫХ ИСТОЧНИКАХ,PROSPECTS OF DEVELOPING NEUTRON REFLECTOMETRY ON RUSSIAN NEUTRON SOURCES
,
Расширение парка нейтронных рефлектометров в России должно произойти в результате ввода в эксплуатацию двух новых источников – реакторов ИР-8 (Москва) и ПИК (Гатчина) в НИЦ КИ.,The stock of neutron reflectometers in Russia should be expanded due to the future commissioning of two new sources: reactors IR-8 (Moscow) and PIK (Gatchina) at the NRC KI.
,
"Стоит отметить, что комбинация расположенных рядом, на одной площадке НИЦ КИ,  и реактора ИР-8 с новым парком установок нейтронного рассеяния превратит это место в уникальный в РФ центр, где сосредоточены разные комплиментарные методы исследований конденсированных сред.",It should be noted that a combination of closely located (on the same platform of NRC KI) specialized Kurchatov Synchrotron Radiation Source “KISI-Kurchatov” and IR-8 reactor with a new stock of neutron scattering installations will give rise to a unique center concentrating different complementary methods for studying condensed matter.
Реактор ИР-8 относится к источникам со средним потоком нейтронов – средний поток нейтронов в горизонтальных каналах реактора составляет 1010 н см–2 с–1.,The reactor IR-8 is assigned to medium-flux sources: the average neutron fluence in horizontal reactor channels is 1010 n cm–2 s–1.
,
"Развитие метода НР на реакторе ИР-8 началось в 2011 г., когда была успешно проведена апробация рефлектометрической опции на тепловых нейтронах на дифрактометре МОНД [51].","The development of NR on the reactor IR-8 began in 2011, when the reflectometric option was successfully approved for thermal neutrons on the MOND diffractometer [51]."
"В ближайшей перспективе ожидается ввод в эксплуатацию ИХН, что является важным событием с точки зрения развития НР на этом источнике.",CNS is expected to be put into operation in the nearest future; this is an important event from the point of view of developing NR on this source.
К запуску ИХН уже готова инфраструктура нейтроноводного зала с тремя нейтроноводами.,The infrastructure of the neutron-guide hall with three neutron guides is ready for CNS comissioning.
"Некоторые установки из тех, что должны быть установлены в нейтроноводном зале, уже изготовлены и доставлены на будущее место монтажа.",Some instruments from those that must be installed in the neutron-guide hall have already been manufactured and delivered to the installation site.
Одной из таких установок является рефлектометр с поляризованными нейтронами РПН.,One of them is a polarized-neutron reflectometer.
Установка будет размещена на нейтроноводе № 3.,It will be installed on neutron guide no. 3.
Рефлектометр имеет стандартную для реакторов с непрерывным нейтронным потоком схему с использованием монохроматического пучка нейтронов (рис. 5).,"The reflectometer's scheme implies the use of a monochromatic neutron beam, which is typical of cw-neutron flux reactors (Fig. 5)."
Блок монохроматора располагается в разрыве нейтроновода.,The monochromator unit is located in the neutron guide gap.
"Он представляет собой набор из пяти пластинок пиролитического графита PG (002) (d = 3.355 Å) с мозаичностью 40 угловых минут, который формирует пучок с длиной волны 0.52 нм и степенью монохроматизации 1%.","It consists of five plates of pyrolytic graphite PG (002) (d = 3.355 Å) with a mosaicity of 40 arcmin, which forms a beam with a wavelength 0.52 nm and a degree of monochromatization of 1%."
Каждую пластинку PG можно юстировать вращением вокруг вертикальной и горизонтальной осей для фокусировки нейтронного пучка на образец.,Each PG plate can be adjusted by rotation around the vertical and horizontal axes in order to focus the neutron beam on the sample.
Многоканальный зеркальный блок формирователя пучка позволяет быстро переключаться с неполяризованного пучка на поляризованный [52].,The multichannel mirror block of beam former makes it possible to switch rapidly from unpolarized to polarized beam [52].
"При измерениях на установке может использоваться электромагнит на 0.2 Тл [53], узел для трехмерного анализа поляризации [38], многоканальный веерный анализатор с масками на входе для анализа поляризации при незеркальном рассеянии [54].","Measurements can be performed using a 0.2-T electromagnet [53], a unit for three-dimensional analysis of polarization [38], and a multichannel fan-shaped analyzer with masks at the input to analyze polarization under conditions of nonspecular scattering [54]."
"В компоновке рефлектометра пока отсутствует криостат, этот узел может быть установлен в дальнейшем.",The reflectometer configuration lacks a cryostat; this component can be installed further.
,
"Таким образом, на реакторе ИР-8 впервые заработает современный многофункциональный рефлектометр с поляризованными нейтронами, который существенно расширит спектр решаемых задач на этом источнике.","Thus, a modern multifunctional polarized-neutron reflectometer will start functioning for the first time on the IR-8 reactor, which should expand significantly the circle of problems solved on this source."
,
После запуска реактора ПИК в эксплуатацию должен быть введен целый парк разнообразных нейтронных рефлектометров.,"After commissioning the PIK reactor, a stock of diverse neutron reflectometers should to be put into operation."
"Некоторые из них находятся сейчас на стадии проектирования, некоторые приводятся в готовность для эксплуатации.","Some of them are now in the design stage, and some are being prepared for operation."
"В частности, планируется модернизировать переданный из GKSS (Геестхахт, Германия) в ПИЯФ НИЦ КИ после закрытия реактора FRG-1 рефлектометр высокого разрешения NERO [55] с вертикальным положением образца.","In particular, it is planned to upgrade the high-resolution reflectometer NERO with a vertical sample position [55], transferred from the GKSS (Geestchaht, Germany) to the PNPI NRC KI after decommissioning the FRG-1 reactor."
,
"Основными исследовательскими задачами, которые планируется решать с помощью данного прибора, являются: изучение структуры (в том числе магнитной) тонких пленок и многослойных систем, исследование границ раздела и распределения неоднородностей внутри пленок вдоль их поверхности, например, распределения наночастиц в пленках.","This instrument is proposed mainly to solve two research problems: analyze the structure (in particular, magnetic) of thin films and multilayer systems and investigate the interfaces and distribution of inhomogeneities in films along their surface, for example, the distribution of nanoparticles in films."
,
Основные параметры рефлектометра NERO:,The main parameters of the NERO reflectometer are as follows:
,
– разрешение в режиме высокого разрешения Δλ/λ ~ 0.01; в режиме среднего разрешения Δλ/λ ~ 0.04;,(i) resolution: Δλ/λ ~ 0.01 (high-resolution mode) and ~ 0.04 (medium-resolution mode);
,
– возможность работы с неполяризованным и поляризованным пучками;,(ii) possibility of operation with unpolarized and polarized beams;
,
– диапазон углов регистрации рассеянных нейтронов:  –20°–100°;,(iii) range of scattered-neutron detection angles: from –20° to 100°;
,
– поляризация нейтронного пучка: >98%;,(iv) degree of neutron beam polarization: >98%;
,
– анализ поляризации с помощью многоканального веерного анализатора;,(vi) possibility of analyzing polarization using a multichannel fan-shaped analyzer ;
,
– разрешение позиционно-чувствительного детектора не хуже 2 мм по горизонтальной и 5 мм по вертикальной координате.,"(vii) resolution of position-sensitive detector of no worse than 2 and 5 mm over horizontal and vertical coordinates, respectively."
,
"Новыми инструментами для проведения научных исследований на реакторе ПИК станут рефлектометры SONATA и HARMONY, схемы которых уже определены.",The reflectometers SONATA and HARMONY will be new instruments for carrying out research on the PIK reactor; their schemes have already been elaborated.
"Новые инструменты опираются на мировой и отечественный опыт, накопленный в области НР.",These new instruments are based on the world's and Russian experience accumulated in the field of NR.
,
"Высокопоточный нейтронный рефлектометр SONATA предназначен для исследования тонких и атомарно тонких пленок, слоистых и латерально упорядоченных структур, магнетизма в таких структурах и процессов на границах с быстрой кинетикой, в том числе на границе между твердой и жидкой фазами.","The high-flux neutron reflectometer SONATA is designed for studying thin and atomically thin films; layered and laterally ordered structures; the magnetism in these structures; and the processes occurring on fast-kinetics interfaces, including the interfaces between solid and liquid phases."
Рефлектометр будет оптимизирован для исследования вертикальных образцов с малой площадью поверхности (~1 см2) с помощью измерения зеркального отражения с разрешением 8–15% с одновременным измерением незеркального рассеяния нейтронов и с возможностью реализации метода МУРН-СП.,"The reflectometer will be optimized to study vertical samples having a small surface area (~1 cm2) by measuring the specular reflection with a resolution of 8–15%, with simultaneous measurement of nonspecular neutron scattering and a possibility of implementing GISANS."
Наряду с классической схемой рефлектометрии поляризованных нейтронов будет осуществлена схема с векторным анализом поляризации.,"Along with the classical scheme of polarized-neutron reflectometry, the scheme with vector analysis of polarization will be implemented."
"Таким образом, можно получать более детальную и надежную информацию о магнитном состоянии нанослоев, а также развивать элементы инновационной нейтронной спиновой (спин-манипуляционной) оптики [56].","Thus, one can obtain more detailed and reliable information about the magnetic state of nanolayers, as well as develop elements of innovation neutron spin (spin-manipulation) optics [56]."
,
"Рефлектометр является конечной станцией на правом ответвлении нейтроновода Н3-1, который направлен на ИХН.","The reflectometer is the final station in the right arm of neutron guide N3-1, which is directed towards the CNS."
Основными режимами работы рефлектометра являются времяпролетные измерения с неполяризованным или поляризованным пучками.,The main operation modes of the reflectometer are time-of-flight measurements with unpolarized or polarized beams.
"Также возможны измерения в режимах с монохроматическим, неполяризованным и поляризованным пучками, с одномерным и векторным анализом поляризации рассеянного пучка [38].","Measurements can also be performed in the modes with monochromatic, unpolarized, and polarized beams, applying the one-dimensional and vector analysis of scattered beam polarization [38]."
,
Схема рефлектометра представлена на рис. 6.,A schematic of the neutron reflectometer SONATA is presented in Fig. 6.
В концепции нейтронного рефлектометра SONATA заложены широкие экспериментальные возможности:,Its concept implies wide experimental possibilities:
,
– варьирование в широком диапазоне разрешения по длине волны в режиме времяпролетных измерений с отсечением нежелательных медленных нейтронов чоппером с ограниченной полосой пропускания [57];,variation of wavelength resolution in a wide range in the time-of-flight measurement mode with cutoff of undesirable slow neutrons by a chopper having a limited transmission band [57];
,
– варьирование в широком диапазоне рабочей длины волны и разрешения в режиме измерений с постоянной длиной волны;,variation of operating wavelength and resolution in a wide range in the cw measurement mode;
,
– анализ поляризации в широком диапазоне углов с помощью веерного анализатора;,analysis of polarization in a wide angular range using a fan-shaped analyzer;
,
– измерения с векторным анализом поляризации отраженного пучка;,measurements with vector analysis of reflected beam polarization;
,
– быстрое переключение между режимами измерений: геометрия щелевая/точечная; техника времяпролетная/с постоянной длиной волны; режим с неполяризованным/поляризованным пучком.,"fast switching between different measurement modes: slit/point geometry, time-of-flight/cw technique, and unpolarized/polarized beam mode."
,
"Для работы с поляризованным пучком предусмотрены суперзеркальный и монохроматический поляризаторы, два флиппера и веерный анализатор.","Supermirror and monochromatic polarizers, two flippers, and a fan-shaped analyzer are provided for work with polarized beam."
Для увеличения светосилы падающий на образец пучок формируется фокусирующим нейтроноводом.,"To increase luminocity, the beam incident on the sample is formed by a focusing neutron guide."
Основные физические параметры рефлектометра SONATA:,The main physical parameters of the reflectometer SONATA are as follows:
,
– измерения по времени пролета: рабочий спектр от 0.2 до 2.5 нм; варьируемый диапазон λ и разрешение Δλ/λ;, time-of-flight measurements: working spectrum from 0.2 to 2.5 nm; variable ranges of wavelength λ and resolution Δλ/λ;
,
– измерения с постоянной длиной волны: рабочие длины волн от 0.2 до 2.5 нм; разрешение Δλ/λ ~ 3–10%;,cw measurements: working wavelengths from 0.2 to 2.5 nm; resolution Δλ/λ ~ 3–10%;
,
"– диапазон переданных импульсов: 0.01–10 нм–1 (зеркальное рассеяние), 0.01–0.5 нм-1 (незеркальное рассеяние);","ranges of momentum transfers: 0.01–10 nm–1 (specular scattering), 0.01–0.5 nm-1 (nonspecular scattering);"
,
– поляризация пучка >98%.,degree of beam polarization >98%.
,
"Нейтронный рефлектометр HARMONY предназначен как для исследования в области физики мягкой материи (в том числе жидкостей, жидких кристаллов, мембран, полимеров, сложных растворов и т.д.), так и для исследования магнитных и немагнитных твердотельных наноструктур.","The neutron reflectometer HARMONY is designed both for studies in the field of physics of soft matter (including liquids, liquid crystals, membranes, polymers, complex solutions, etc.) and for analysis of magnetic and nonmagnetic solid nanostructures."
Нейтронный рефлектометр HARMONY – времяпролетный прибор с вертикальной плоскостью рассеяния.,HARMONY is a time-of-flight instrument with a vertical scattering plane.
"Для данного рефлектометра основными направлениями исследования являются: границы разделов воздух/жидкость, жидкость/твердое тело и твердое тело/воздух, динамические системы, диффузное (незеркальное) рассеяние, магнитные тонкие пленки.","The main lines of research for this reflectometer are as follows: air/liquid, liquid/solid, and solid/air interfaces; dynamic systems; diffuse (nonspecular) scattering; and thin magnetic films."
"Для решения поставленных задач предусмотрены режимы работы установки со спектральными интервалами разной ширины, включая узкие линии со степенью монохроматизации Δλ/λ ~ 0.01–0.03, как с поляризованными, так и с неполяризованными нейтронами с регистрацией зеркального и диффузно рассеянных пучков.","To solve the above-stated problems, the reflectometer provides operation modes with spectral ranges of different width, including narrow lines with a degree of monochromatization Δλ/λ ~ 0.01–0.03, with both polarized and unpolarized neutrons, and detection of specularly and diffusively scattered beams."
,
"Проведение исследований измерений на рефлектометре возможно как при отражении от поверхности образца сверху, так и при отражении от поверхности образца снизу.",Measurements on the reflectometer can be performed under conditions of reflection from the sample surface both in the upward and downward directions.
,
Характерные разрешаемые размеры по глубине образца составляют 1–100 нм.,The characteristic resolved sizes over the sample depth are 1–100 nm.
,
Основные параметры рефлектометра HARMONY:,The main parameters of the reflectometer HARMONY are as follows:
,
– рабочий диапазон длин волн 0.2–2 нм;,working wavelength range 0.2–2 nm;
,
– диапазон по перпендикулярной компоненте переданного импульса к поверхности образца Qz ~ 0.05–5 нм–1;,range of momentum transfer components normal to the sample surface Qz ~ 0.05–5 nm–1;
,
– поляризация нейтронного пучка в поляризационной моде до P ~ 96%;,neutron beam polarization in the polarization mode to P ~ 96%;
,
– сечение пучка нейтронов на позиции образца: 0.1 × 10 мм2–4.0 × 100 мм2.,neutron beam cross section at the sample site: from 0.1 × 10 mm2 to 4.0 × 100 mm2.
,
Схема нейтронного рефлектометра HARMONY показана на рис. 7.,A schematic of the neutron reflectometer HARMONY is shown in Fig. 7.
,
"В схеме рефлектометра будут использованы инновационные элементы, разработанные в ПИЯФ: прерыватель пучка [58], компактный трансмиссионный суперзеркальный нейтронный поляризатор на кремниевых подложках [59], широкоапертурный веерный анализатор поляризации рассеянного на образце пучка с масками на входе [54].","The reflectometer scheme will include a number of innovation elements developed at the PNPI: beam chopper [58], compact transmission supermirror neutron polarizer on silicon substrates [59], and a wide-aperture fan-shaped analyzer of the polarization of a beam scattered on a sample with masks at the input [54]."
,
Многие годы ПИЯФ является одним из основных центров производства нейтронно-оптических покрытий.,PNPI has been one of the main centers for production of neutron-optical coatings for many years.
Неотъемлемой частью этой технологии является проведение контрольных измерений производимой продукции и опытных образцов.,An integral part of this technology is tests of produced articles and prototypes.
"Как упоминалось выше, ранее этой цели служил рефлектометр НР-4М, многие годы проработавший на реакторе ВВР-М.","As was mentioned above, this purpose was served previously by the NR-4М reflectometer, which had operated for many years on the WWR-M reactor."
"На новом источнике преемником этого рефлектометра должен стать новый инструмент Тестовый нейтронный рефлектометр (ТНР), основное назначение которого будет заключаться в тестировании нейтронных поляризующих и неполяризующих зеркал для создания нейтроноводов и других нейтронно-оптических устройств как для реактора ПИК, так и для других нейтронных центров в РФ и за рубежом.",On the new source this reflectometer will be replaced with a new instrument: Test Neutron Reflectometer (TNR). Its main purpose is to test polarizing and unpolarizing neutron mirrors in order to fabricate neutron guides and other neutron-optical devices both for the PIK reactor and for other neutron centers in the Russian Federation and abroad.
"Прибор создается на основе опоминавшегося рефлектометра НР-4М (разд. 2) и так же, как предшественник, предполагает возможность работы в режимах измерений с “белым”, неполяризованным/поляризованным пучками и с монохроматическим, неполяризованным/поляризованным пучками.","This device is based on the aforementioned reflectometer NR-4М (Section 2) and, as well as its precursor, allows one to perform measurements with ""white"" (unpolarized/polarized) and monochromatic (unpolarized/polarized) beams."
Выбор режима измерений определяется решаемой физической задачей.,The choice of a specific measurement mode is determined by the physical problem to solve.
Основные параметры рефлектометра ТНР:,The main parameters of the reflectometer TNR are as follows:
,
– спектральный диапазон (в режиме измерений по времени пролета): от 0.09 до 0.5 нм;, spectral range (in time-of-flight measurements): from 0.09 to 0.5 nm;
,
– разрешение по длине волны в режиме измерений по времени пролета: Δλ – 0.006 нм;,wavelength resolution (in time-of-flight measurements): Δλ = 0.006 nm;
,
– относительное разрешение по длине волны в режиме измерений с постоянной длиной волны ~ 6%;,relative wavelength resolution in cw measurements: ~6%;
,
– поляризация нейтронного пучка >99 %;,degree of neutron beam polarization >99 %;
,
– доступный диапазон переданных импульсов 0.03–3 нм–1.,available range of momentum transfers: 0.03–3 nm–1.
,
"Таким образом, при реализации всех планов парк рефлектометров на нейтронных источниках в РФ пополнится на четыре инструмента, которые перекроют весь диапазон потребностей потенциальных пользователей по разрешению, интенсивности и технике измерений.","Thus, after fulfilling all plans, the stock of reflectometers based on neutron sources in the Russian Federation will be supplemented with four new instruments, which will cover the entire range of requirements of potential users to resolution, intensity, and technique of measurements."
Импульсные и стационарные источники будут взаимодополнять друг друга в получении более надежной и разносторонней информации об изучаемом объекте.,Pulsed and stationary sources will complement each other to provide more reliable and diverse information about objects studied.
,
,
,
ОБОРУДОВАНИЕ РЕФЛЕКТОМЕТРОВ,EQUIPMENT OF REFLECTOMETERS
,
Существенной частью исследований в области конденсированного состояния является создание определенных условий на изучаемом объекте или воздействии на него определенным способом для выявления тех или иных характеристик.,An essential part of studies in the field of condensed state is to put an object studied under certain conditions or affect it in a certain way to reveal particular characteristics.
