Russian_term	English_term	Russian_sentence	English_sentence_expert	en_google Russian_sentence	en_nllb Russian_sentence	en_marian Russian_sentence
в широкой области температур	in a wide temperature range	Присутствие центрального пика в широкой области температур в кристаллах кварца открывает возможность для реализации условий фазового синхронизма при нелинейно-оптических процессах в этом кристалле за счет вклада в закон сохранения квазиимпульса моды, соответствующей центральному пику, характеризующейся нулевой частотой и отличным от нуля квазиимпульсом.	The presence of the central peak in a wide temperature range in quartz crystals provides the possibility of implementing the phase-matching conditions for nonlinear optical processes in these crystals due to the contribution from the mode, which corresponds to the central peak and is characterized by zero frequency and nonzero quasi-momentum, to the quasi-momentum conservation law.	The presence of the central peak in a wide area of temperatures in quartz crystals opens up the possibility for the implementation of phase synchronism conditions under non-linear-optical processes in this crystal due to the contribution to the law of preserving the quasi-pulse of the fashion, which is characterized by zero frequency and a quasi-pulse that is different from zero.	The presence of a central peak in a wide range of temperatures in quartz crystals opens the possibility for the realization of the conditions of phase synchronicity in nonlinear-optical processes in this crystal by contributing to the law of conservation of the quasi-impulse of fashion, corresponding to a central peak characterized by a zero frequency and a zero-different quasi-impulse.	The presence of a central peak in a wide area of temperature in quartz crystals provides an opportunity to realize the conditions of phase synchronous conditions in the non-linear-optic processes in this crystal by contributing to the law to preserve a quasi-impulse of fashion corresponding to a central peak of zero frequency and distinct from zero by quasi-impulse.
в широком интервале температур	in a wide temperature range	Рисунок 5а демонстрирует рассчитанные на основе соотношения (6) зависимости интенсивности I(Ω, T) стоксовых (Ω  0) и антистоксовых (Ω  0) спектральных компонент для модели двух связанных осцилляторов в широком интервале температур, включая точку фазового перехода в кристалле кварца.	Figure 5a demonstrates the dependences of the intensity I(Ω, T) of the Stokes (Ω > 0) and anti-Stokes (Ω < 0) spectral components calculated based on relation (6) for the model of two coupled oscillators in a wide temperature range (including the phase-transition point in a quartz crystal).	Figure 5A demonstrates the intensity of intensity I (ω, t) of the Stake (ω  0) and anti -Kovoks (ω  0) spectral components for the model of two related oscillators in a wide range of temperatures, including the phase transition point in the quartz crystal..	Figure 5a shows the spectral components (ω  0) and (ω  0) of the two associated oscillators in a wide temperature range, including the phase transition point in the quartz crystal, calculated on the basis of the i(ω, t) intensity dependence ratio (6).	Figure 5a shows a ratio of the density i(, t) of the stox (,, 0) to the anti-stock (,,, 0) of the spectral component for the model of the two associated oscillators at a wide temperature interval, including the phase transition point in the quartz crystal.
в этих условиях	under these conditions	Энергия ГЦК-никеля в этих условиях ниже, чем у ОЦК-никеля, так что структура ГЦК более устойчива, чем ОЦК.	The energy of fcc nickel under these conditions is lower than that of bcc nickel; therefore, the fcc structure is more stable than the bcc structure.	The energy of the GCC-Nickel under these conditions is lower than that of the OCC-Nickel, so the structure of the GCC is more stable than the BCC.	The energy of gtc-nickel under these conditions is lower than that of gtc-nickel, so the structure of gtc is more stable than that of gtc.	The energy of the German nickel in these conditions is lower than that of the Otto Nickel, so the structure of the Gtsk is more stable than the Otch.
важно отметить, что	it is important that	Вместе с тем важно отметить, что в соответствии с диаграммой фазовых равновесий и многими литературными данными при высоких температурах кристаллическая фаза состава Ti50Ni25Cu25 имеет В2-решетку, а при охлаждении до комнатной температуры она испытывает термоупругое мартенситное превращение B2  B19 [9–14].	At the same time, it is important that, according to the diagram of phase equilibria and numerous data in the literature, the crystalline phase of the Ti50Ni25Cu25 composition has B2 lattice at high temperatures and undergoes the thermoelastic martensitic B2  B19 transformation upon cooling to room temperature [9–14].	At the same time, it is important to note that, in accordance with the phase equilibrium diagram and many literary data at high temperatures, the crystalline phase of the composition of the TI50NI25CU25 composition has a B2-screen, and when cooling to room temperature, it experiences a thermomed martensitic transformation of B29 [9–14].	However, it is important to note that according to the diagram of phase equilibrium and many literary data at high temperatures, the crystal phase of the composition ti50ni25cu25 has a v2-chain, and when cooled to room temperature it experiences thermal resistant martensitic transformation b2 b19 [914].	It is important to note, however, that according to the phase equilibrium diagram and many literary data at high temperatures, the crystallic phase of the ti50ni25cu25 composition has a 2-bed grid and, when cooled to room temperature, it is subjected to a thermoressive deformity of b2 b19 [9 - 14].
вблизи фазового перехода	near the phase transition	Интенсивность центрального пика при комнатной температуре существенно меньше его интенсивности вблизи фазового перехода (в 104 раз).	The central-peak intensity at room temperature is much lower than that near the phase transition (by a factor of 104).	The intensity of the central peak at room temperature is significantly less than its intensity near the phase transition (104 times).	the intensity of the central peak at room temperature is significantly less than its intensity near the phase transition (104 times).	The density of the central peak at room temperature is significantly lower than that near the phase transition (104 times).
вдоль оси z	along the z axis	В направлении [001] такие кластеры связаны между собой дифосфатными группами с формированием лент, вытянутых вдоль оси z (рис. 4).	These clusters are linked to each other in the [001] direction through diphosphate groups to form ribbons running along the z axis (Fig. 4).	In the direction of [001], such clusters are interconnected by differential groups with the formation of ribbons stretched along the Z axis (Fig. 4).	In the direction [001] such clusters are bound together by diphosphate groups with the formation of strips stretched along the z axis (Fig. 4).	In the direction [001], such clusters are linked by the diphtheria groups to the formation of tapes drawn along the z axis (Figure 4).
вектор напряженности поля	field vector	Магнитное поле создавали при помощи катушек Гельмгольца, помещенных на вращающемся столике так, чтобы вектор напряженности поля мог составлять различные углы с направлением распространения света.	The magnetic field was formed using Helmholtz coils, placed on a rotary table so that the field vector could make different angles with the light-propagation direction.	The magnetic field was created with the help of Helmholtz coils placed on a rotating table so that the vector of field tension could make various angles with the direction of the spread of light.	The magnetic field was created using coils of a helmet ring placed on a rotating table so that the field voltage vector could form different angles in the direction of light propagation.	The magnetic field was created with the coils of the Helmgoltz placed on the rotating table so that the field tension vector could be made up of different angles with the direction of light distribution.
вектор обратной решетки	reciprocal lattice vector	где V0 – объем элементарной ячейки, b – вектор обратной решетки, WQ – тепловой фактор Дебая–Уоллера.	where V0 is the unit-cell volume, b is the reciprocal lattice vector, and WQ is the Debye–Waller factor.	Where V0 is the volume of an elementary cell, B is the vector of the reverse lattice, WQ is the thermal factor of Debay -Woller.	where v0  is the volume of the elementary cell, b  is the vector of the reverse lattice, wq  is the thermal factor of the deby weller.	where v0 is the volume of the elementary cell, b is the vector of the back grid, wq is the heat factor of the debe-waller.
верхняя заполненная молекулярная орбиталь	highest occupied molecular orbital	Ярким примером этого является фуллерен С74 [2]. В рамках хюккелевского приближения с параметром B ~ -2.6 eV щель между занятыми и вакантными состояниями, именуемая ВЗМО-НВМО (верхняя заполненная молекулярная орбиталь – нижняя вакантная молекулярная орбиталь) имеет малое значение ~ 0.01 eV, что никак не согласуется с экспериментом [2].	A striking example is fullerene C74 [2]: its energy spectrum calculated within the Hueckel approximation with parameter B ≈ –2.6 eV contained the so-called HOMO–LUMO (highest occupied molecular orbital–lowest unoccupied molecular orbital) gap between the occupied and vacant states of as small as ~0.01 eV, which disagrees with the experiment [2].	A striking example of this is Fulleren C74 [2].Within the framework of the Hukkele approximation with the parameter b ~ -2.6 EV, the gap between the busy and vacant states, called the SCOM -NMO (the upper filled molecular orbital -the lower vacant molecular orbit) is of small value of ~ 0.01 EV, which is not consistent with the experiment [2].	A prime example of this is the c74 fullerene [2]. within the context of a hückkeleian approximation with a parameter of b ~ -2.6 ev the gap between occupied and vacant states called the vзмо-nvmo (upper-filled molecular orbital  lower-filled molecular orbital) has a small value of ~0.01 ev, which is in no way consistent with the experiment [2].	A striking example of this is the fulleren from 74 [2]. In the cockkel approach with the parameter b ~ -2.6 ev, the gap between occupied and vacant states, called the nvmo (upper filled molecular orbital – lower vacant molecular orbital), has a small value ~ 0.01 ev, which is not in any way consistent with the experiment [2].
включения второй фазы	second-phase inclusions	В кристаллах InAs основными дефектами являются точечные дефекты, дислокации, двойники и включения второй фазы.	The main defects in InAs crystals are point defects, dislocations, twins, and second-phase inclusions.	In Inas crystals, the main defects are point defects, dislocations, doubles and the inclusion of the second phase.	In crystals, the main defects are spot defects, dislocations, doubled and second phase insertion.	in crystals inas, the main defects are point defects, positioning, doppelgangers and the inclusion of the second phase.
внеплоскостное деформационное колебание	out-of-plane bending vibration	Предложенное в работах [15,16] отнесение низкочастотных полос, наблюдаемых в ИК спектре ПС (рис. 1,а), может быть представлено следующим образом: интенсивная полоса при ~ 405 cm-1 – внеплоскостное деформационное колебание связи С-С ароматического кольца (мода 16а); слабые полосы при 325 и 295 cm-1  обусловлены деформационными колебаниями C- C- C- и C- C- H-групп основной цепи.	The following assignment of low-frequency bands observed in the IR spectrum of PS (Fig. 1a) was proposed in [15, 16]: the strong band at ~405 cm–1 corresponds to an out-of-plane bending vibration of the C–C bond of the aromatic ring (mode 16a) and the weak bands at 325 and 295 cm–1 are due to bending vibrations of the C–C–C and C–C–H groups of the main chain, respectively.	The assignment of low-frequency stripes observed in the work [15.16], observed in the IR spectrum of PS (Fig. 1, a), can be presented as follows: an intensive strip at ~ 405 CM-1-an extracurricular deformation vibration of the bond of the aromatic ring (Fashion 16a);Weak stripes at 325 and 295 CM-1 are due to deformation vibrations of C-C- and C-C-H-groups of the main chain.	The proposed assignment of low frequency bands observed in the ik spectrum of ps (fig. 1,a) can be represented as follows: the intensive band at ~405 cm-1  is the off-plate deformation of the c-s link with the aromatic ring (mode 16a); the weak bands at 325 and 295 cm-1 are due to the deformation of c-c-c- and c-c-h-group of the main chain.	The allocation of low-frequency bands observed in the spectra of the dog (figures 1a) as proposed in the works [15.16] can be presented as follows: the intensive band at ~ 405 cm-1 is an ad hoc distortion of the communication with the flavour ring (mod 16a); the weak bands at 325 and 295 cm-1 are caused by deformations of c-c-c-c- and c-c-h-groups of the main chain.
во время отжига	during annealing	С одной стороны, целью отжига является максимальное повышение плотности, с другой – во время отжига происходит рост зерен, что неоднозначно сказывается на величине проводимости.	On the one hand, the annealing was aimed at increasing maximally the density. On the other hand, grains grow during annealing, which affects ambiguously the conductivity value.	On the one hand, the goal of annealing is the maximum increase in density, on the other hand, grains increase during annealing, which ambiguously affects the magnitude of the conduction.	On the one hand, the burning goal is to maximize the density, on the other hand, the grain is growing during the burning, which has a mixed effect on the amount of conductivity.	On the one hand, the aim of burning is to maximize density, on the other hand – the growth of grains occurs during burning, which has a mixed effect on conductivity.
во всем диапазоне	in the entire range	При более длительном отжиге (10 ч) пропускание снижалось до значений менее 5–10% (рис. 1а, кривая 4) во всем диапазоне.	After longer annealing (for 10 h), the transmittance decreases below 5–10% (Fig. 1a, curve 4) in the entire range.	With longer annealing (10 hours), passing was reduced to values of less than 5-10% (Fig. 1a, curve 4) in the entire range.	with longer ignition (10 hours) the pass rate decreased to less than 510% (fig. 1a, curve 4) across the entire range.	with longer burn (10 h) the transmission was reduced to less than 5-10 per cent (figures 1a, curve 4) over the entire range.
во всем диапазоне энергий	in the entire energy range	Комбинация с ионным времяпролетным спектрометром (iTOF, ion time of flight) Wiley/McLaren дает возможность проводить измерения совпадений электронов и ионов во всем диапазоне энергий, доступном на станции SQS.	Its combination with an ion time-of-flight spectrometer (iTOF) Wiley/McLaren makes it possible to measure coincidences electrons and ions in the entire energy range available on the SQS station.	A combination with an ion time spectrometer (ITOF, Ion Time of Flight) Wiley/McLaren makes it possible to measure the coincidences of electrons and ions in the entire energy range available at the SQS station.	The combination of an ion time of flight spectrometer (itof, ion time of flight) with a wiley/mclaren allows the measurement of electron and ion coincidences across the entire range of energies available on the sqs station.	The combination of ion time spectrometer (itof, ion time of flight) wiley/mclaren allows the measurement of electron and ion matches over the full range of energy available at the sqs station.
во всем интервале температур	in the entire temperature range	Время, затрачиваемое на измерение во всем интервале температур и обработку экспериментальных данных, составляет не более 2.5 ч.	The time spent for the scanning in the entire temperature range and the processing of experimental data does not exceed 2.5 h.	The time spent on measurement in the entire temperature range and processing of experimental data is no more than 2.5 hours.	The time spent measuring the temperature range and processing the experimental data is not more than 2.5 hours.	The time taken to measure the entire temperature interval and to process the experimental data is not more than 2.5 h.
во втором порядке теории возмущений	in the second-order perturbation theory	Принимая во внимание только отличные от нуля матричные элементы, получаем следующее выражение во втором порядке теории возмущений:	Taking into account only nonzero matrix elements, we arrive at the following expression in the second-order perturbation theory:	Taking into account only matrix elements that are different from zero, we get the following expression in the second order of the theory of disturbances:	If we take into account only the non-zero matrix elements, we get the following expression in the second order of the theory of perturbations:	Taking into account only different matrix elements from zero, the following expression is given in the second order of disturbance theory:
возрастает с температурой	increases with temperature	Она монотонно возрастает с температурой и при 900С близка к 10–4 См/см для нелегированного образца и примерно на четверть порядка выше в случае образца, содержащего магний.	This parameter monotonically increases with temperature and, at 900C, is close to 10–4 S/cm for the undoped sample and is higher by about a quarter of an order of magnitude in the case of the Mg-doped sample.	It increases monotonously with a temperature and at 900 ° C is close to 10-4 cm/cm for an illegal sample and about a quarter of the order higher in the case of a sample containing magnesium.	It rises monotonously with temperature and at 900s close to 104 cm/cm for an unalloyed sample and about a quarter of an order higher for a sample containing magnesium.	It increases monotonically with temperature and is close to 10–4 cm/cm for the unalloyed sample and approximately a quarter of an order higher for the magnesium-containing sample.
время жизни электронов	electron lifetime	Время жизни электронов в накопителе составляет 20–40 ч.	The electron lifetime in the storage ring is 20 to 40 h.	The life lifestyle in the drive is 20–40 hours.	The life of the electrons in the accumulator is 2040 hours.	The life span of electrons in the storage device is between 20 and 40 hours.
время набора статистики	statistics collection time	Так, для развертки, приведенной в примере полосы 5–10 Å, на самом деле достаточно втрое меньшего времени, т.е. частоту нарезки импульсов можно увеличить с 10 до 30 Гц без потерь в диапазоне и разрешении и тем самым сократить втрое время набора статистики.	In particular, the time necessary for the scan reported in the example with a band of 5–10 Å is in fact shorter by a factor of 3; i.e., the pulse generation frequency can be increased from 10 to 30 Hz without any loss in the range and resolution and thus reduce thrice the statistics collection time.	So, for a scan, given in the example of a strip of 5–10 å, in fact there is three times a fewer time, i.e.The frequency of impulse cuts can be increased from 10 to 30 Hz without loss in the range and resolution and thereby reduce the three times of the set of statistics.	So for the roll-out shown in the 510 å example, it's actually three times less time, meaning the pulse cutting frequency can be increased from 10 to 30 Hz without loss of range and resolution and thus three times less time to set statistics.	Thus, for the opening example of strips 5 to 10, it is actually three times less time, i.e. the frequency of pulse cutting can be increased from 10 to 30 Hz without loss in range and resolution, thus reducing the time of the set of statistics to three.
время процесса роста	growth time	где t – время процесса роста, а в коэффициентах  благодаря гравитационной добавке (11) усиливается различие между гранями разной ориентации.	where t is the growth time; the difference between the faces of different orientations in the coefficients  is enhanced due to the gravitational additive (11).	Where T is the time of the growth process, and in the coefficients due to the gravitational additive (11), the difference between the faces of different orientations is enhanced.	where t  is the time of the growth process, and in the coefficients, due to gravitational addition (11) the difference between the edges of different orientations is increased.	where t is the time of growth, and in coefficients the gravity supplement (11) reinforces the difference between the edges of different orientations.
время свободного пробега	mean free time	Время свободного пробега фононов тепловых частот относительно фонон-фононного взаимодействия в YAG из данных по кинетике НФ [13] при Т = 3.8 K (* = 4∙10-4 с).	The mean free time of thermal-frequency phonons relative to the phonon–phonon interaction in YAG was taken from the data on the NP kinetics [13] at T = 3.8 K (τ* = 4 × 10–4 s).	The time of free run of the phonons of thermal frequencies relative to the phonon-phonon interaction in YAG from the data on the kinetics of NF [13] at T = 3.8 K (* = 4 ∙ 10-4 C).	time of free passage of heat frequencies phonons relative to phonon-phonon interaction in yag from data on nf kinetics [13] at t = 3.8 k (* = 4∙10-4 c).	Free running time of the heat frequency background with respect to the background-phonic interaction in yag from kinetic nf [13] at t = 3.8 k ( * = 4°10-4 s).
вторичная электронная эмиссия	secondary electron emission	На катоде учитывалась термоэмиссия и вторичная электронная эмиссия под действием быстрых ионов и атомов.	Thermal emission and secondary electron emission induced by fast ions and atoms on the cathode are taken into account.	The cathode took into account the thermal emission and the secondary electronic emission under the influence of fast ions and atoms.	The cathode was based on thermoemission and secondary electron emission by fast ions and atoms.	Thermosis and secondary electronic emissions were accounted for by fast ions and atoms.
второе начало термодинамики	second law of thermodynamics	С переходом на локальный термодинамический уровень, когда справедливо статистическое равновесное представление Больцмана об энтропии системы как логарифма числа эквивалентных микросостояний [22], уже возникает стрела времени в форме описанной выше строго последовательной серии процессов десорбции–роста–адсорбции и второе начало термодинамики вступает в силу.	When passing to the local thermodynamic level, where the statistical equilibrium Boltzmann's concept about the entropy of a system as a logarithm of the number of equivalent microstates [22] is valid, there arises a time arrow in the form of the above-described strictly successive series of desorption–growth–adsorption processes, and the second law of thermodynamics comes into force.	With the transition to the local thermodynamic level, when the Boltzmann's statistical equilibrium representation of the system’s entropy as a logarithm of the number of equivalent micro -positions [22], an arrow of time in the form of a strictly sequential series of desorption -rift -adsorption and the second beginning of thermodynamics comes into force.	With the transition to the local thermodynamic level, when Boltzmann's statistical equilibrium representation of the entropy of the system as the logarithm of the number of equivalent micro states [22] is correct, the time arrow in the form of the strictly sequential series of desorption processes described above  growth  absorption already arises and the second beginning of thermodynamics comes into force.	With the transition to a local thermodynamic level, where the statistical equilibrium of the Boltzman's view of the system's entropy as the logarithm of the number of equivalent microstates [22] is right, the time arrow in the form of the strict sequence of desorption-growth-adsorption processes described above is already emerging, and the second start of thermodynamics is coming into effect.
входящий в состав	incorporated in the composition	Поскольку основной компонент CdF2, входящий в состав нестехиометрических фаз, обладает высоким давлением паров, это затрудняет рост кристаллов Cd1 – xRxF2 + x из расплава.	Since the main component CdF2 incorporated in the composition of nonstoichiometric phases is characterized by a high vapor pressure, the growth of Cd1–xRxF2+x crystals from melt is hindered.	Since the main component of the CDF2, which is part of the non -chiometric phases, has high vapor pressure, this complicates the growth of CD1 - XRXF2+X crystals from the melt.	Because the main component of cdf2, which is part of the non-stechometric phases, has high vapor pressure, this makes it difficult for the crystals cd1  xrxf2 + x to grow from melt.	Because the main component of cdf2, which is part of the non-stechiometric phases, has high vapour pressure, it makes it difficult to grow crystals cd1 – xrxf2 + x from the melt.
высокий показатель преломления	high refractive index	Кроме того, все образцы имеют высокий показатель преломления.	In addition, all samples have a high refractive index.	In addition, all samples have a high refractive indicator.	In addition, all samples have a high rate of breakdown.	In addition, all samples have a high refrigeration rate.
высокого оптического качества	of high optical quality	Рост кристаллов проводили при пересыщении 7% в течение трех недель, в результате получили кристаллы высокого оптического качества, не содержащие включений, размером до 120 × 120 мм2.	The crystals were grown at a supersaturation of 7% for three weeks, as a result of which crystals of high optical quality up to 120 × 120 mm2 in size without inclusions were obtained.	The growth of crystals was carried out during a shipment of 7% for three weeks, as a result, crystals of high optical quality, not containing inclusions, in size up to 120 × 120 mm2.	The crystals were growing at 7% saturation over three weeks, resulting in high-quality optical crystals without inclusions, up to 120 × 120 mm2.	The crystals were grown at 7 per cent over three weeks, resulting in high optical crystals of up to 120 x 120 mm2.
геометрический и топологический анализ	geometrical and topological analysis	С помощью компьютерных методов (пакет программ TOPOSPro) осуществлен геометрический и топологический анализ и проведено моделирование самосборки кристаллических структур интерметаллидов CsnMk (М = Na, K, Rb, Pt, Au, Hg, Te).	A geometrical and topological analysis has been performed, and self-assembly of the crystal structures of intermetallic compounds CsnMk (М = Na, K, Rb, Pt, Au, Hg, Te) has been simulated using computer methods (the ToposPro software).	Using computer methods (TOPOSPRO package), a geometric and topological analysis was carried out and modeling of self -assembly of crystal structures of intermetallides CSNMK (M = Na, K, Rb, PT, AU, HG, Te) was carried out.	using computer methods (topospro software package) geometric and topological analysis and self-assembly modeling of the crystal structures of the intermetallides csnmk (m = na, k, rb, pt, au, hg, te) has been carried out.	Using computer-based methods (topospro package), a geometric and topological analysis was performed and a self-assembly of crystallized intermetal structures of csnmk was modelled (m = na, k, rb, pt, au, Hg, te).
главное квантовое число	principal quantum number	В качестве меры направленного характера химической связи между атомами Дехлингером в . было предложено использовать среднее главное квантовое число  наружных занятых электронных оболочек атомов, входящих в химическую формулу соединения.	Dehlinger suggested in 1955 to use the mean principal quantum number  of the outer filled electron shells of atoms entering the chemical formula of the compound as the measure of the directed character of chemical interatomic bond.	As a measure of a directed nature of the chemical connection between the atoms of the dehlinger in.It was proposed to use the average main quantum number of external busy electronic shells of atoms included in the chemical formula of the compound.	As a measure of the directed nature of chemical bond between atoms by the de-linker v. it was proposed to use the average main quantum number of outer occupied electronic shells of atoms that are included in the chemical formula of the compound.	As a measure of the directional nature of the chemical link between the dehlinger atoms in........................................
главные показатели преломления	principal refractive indices	где n1, n2, n3 – главные показатели преломления.	where n1, n2, and n3 are the principal refractive indices.	where N1, N2, N3 are the main refractive indicators.	where n1, n2, n3  are the main indicators of the breakdown.	where n1, n2, n3 is the main refractation indicators.
говорит в пользу	counts in favor of	При этом повышенное соотношение атомарного кислорода к металлу говорит в пользу повышенного содержании термодинамически обусловленной при 800 С вюститной фазы в окисленной стружке по сравнению с оксидированным исходным образцом.	The high ratio of the atomic oxygen to the metal counts in favor of the elevated content of the wustite phase (thermodynamically caused at 800 C) in the oxidized chipping, in comparison with the oxidized initial sample.	At the same time, the increased ratio of atomic oxygen to the metal speaks in favor of an increased content of thermodynamically determined at 800 C in the wusitic phase in oxidized chips compared to an oxidized source sample.	The higher ratio of atomic oxygen to metal suggests a higher thermodynamic content at 800 with a juxtaposition phase in the oxidized jet compared to the oxidized original sample.	with an elevated ratio of atomar oxygen to metal, it is in favour of an increased thermodynamically induced concentration of 800 with the vustic phase in the oxidized coil compared to the oxidized reference sample.
давление насыщенных паров	saturated vapor pressure	Ионные жидкости имеют очень низкое давление насыщенных паров и практически не влияют на давление паров чистого н-гексана.	The ionic liquids have a very low saturated vapor pressure and barely affect the pressure of pure n-hexane vapor.	Ionic liquids have very low pressure of saturated vapors and practically do not affect the pressure of the vapor of pure n-guxan.	ionic liquids have very low saturated vapor pressure and have almost no effect on pure n-hexane vapor pressure.	ion liquids have very low saturation vapour pressure and have little effect on pure n-hexane vapour pressure.
дальний атомный порядок	long-range atomic order	Его можно определить как структурное состояние, когда дальний атомный порядок отсутствует (т.е. нет строгой корреляции и трансляционной симметрии в расположении атомов на больших расстояниях), но сохраняется ближний порядок (корреляции атомов реализуются в двух–трех ближайших координационных сферах) [2, 3].	It can be defined as the structural state when the long-range atomic order is absent (i.e., there are no strict correlation and translational symmetry in the atomic arrangement for large distances) but the short-range order is retained (atomic correlations are implemented in two–three nearest coordination spheres) [2, 3].	It can be defined as a structural state, when there is no distant atomic order (i.e. there is no strict correlation and translating symmetry in the location of atoms at large distances), but the near order is preserved (the correlation of atoms are realized in two to three nearest coordination spheres) [2,3].	It can be defined as a structural state in which the distant atomic order is absent (i.e. there is no strict correlation and translational symmetry in the location of atoms at large distances), but the near order is maintained (atomic correlations are realized in two three nearest coordinating spheres) [2, 3].	It can be defined as a structural state where there is no long-range atomic order (i.e. there is no strict correlation and transmission symmetry in the location of long-range atoms), but close order is maintained (the correlations of atoms take place in the two or three closest coordination areas) [2, 3].
дальний магнитный порядок	long-range magnetic order	Возможно, при константе спин-волновой жесткости, меньшей 10 мэВ Å2, ДМ-взаимодействие способно полностью разрушить дальний магнитный порядок и привести к ближнему магнитному порядку, что в результате и приводит к флуктуациям ориентации вектора магнитной спирали kS.	Possibly, at a spin wave stiffness constant lower than 10 meV Å2, the DM interaction can completely destroy the long-range magnetic order and lead to short-range magnetic order, which results in the orientation fluctuations of the magnetic spiral vector kS.	Perhaps, with the spin-wave stiffness constant, a smaller 10 MeV å2, DM-interaction is able to completely destroy the long-range magnetic order and lead to near magnetic order, which as a result leads to fluctuations of orientation of the KS magnetic spiral vector.	Perhaps, at a spin wave constant of less than 10 mэв å2, dm interaction is capable of completely destroying the distant magnetic order and leading to the near magnetic order, which results in fluctuations in the orientation of the magnetic spiral vector ks.	Maybe with a spinal rigidity constant of less than 10 mav ó2, dm interference can completely disrupt the long-range magnetic order and lead to a near magnetic order, which results in the fluctuations in the orientation of the magnetic spiral vector ks.
два порядка величины	two orders of magnitude	Выше этой температуры проводимость возрастала скачком на два порядка величины.	Above this temperature, the conductivity abruptly increased by two orders of magnitude.	Above this temperature, the conductivity increased by a jump of two orders of magnitude.	And above this temperature, the conductivity jumped two orders of magnitude.	The conductivity increased by two orders of magnitude above this temperature.
двойная петля гистерезиса	double hysteresis loop	Рис. 5. Типичная петля гистерезиса в сегнетоэлектрике (а) [3], двойная петля гистерезиса в антисегнетоэлектрике (б) [31].	Fig. 5. (a) A typical hysteresis loop in a ferroelectric [3] and (b) a double hysteresis loop in an antiferroelectric [31].	rice.5. A typical loop of a hysteresis in a segnetoelectric (a) [3], a double loop of a hysteresis in antisogenetoelectric (b) [31].	Figure 5. typical loop of hysteresis in segnetic electricity (a) [3], double loop of hysteresis in anti-segnetic electricity (b) [31].	Figure 5. typical hysteresis loop in segnetoelectric (a) [3], double hysteresis loop in anti-segnetoelectric (b) [31].
действие магнитного поля на	the effect of a magnetic field on	Воздействие магнитного поля на эмульсию магнитной жидкости в минеральном масле АМГ-10 приводит к существенному изменению прозрачности, которое может достигать 25-30% в поле напряженностью до 5 kA/m.	The effect of a magnetic field on a magnetic-fluid emulsion in AMG-10 mineral oil leads to a significant change in the transparency, which may reach 25–30% at field strengths up to 5 kA/m.	The exposure to the magnetic field on the emulsion of magnetic fluid in the mineral oil AMG-10 leads to a significant change in transparency, which can reach 25-30% in the field of up to 5 ka/m.	The magnetic field's impact on the emulsion of the magnetic fluid in the amg-10 mineral oil leads to a significant change in transparency that can reach 25-30% in a field of tension up to 5 ka/m.	The effect of magnetic field on magnetic fluid emulsions in mineral oil amg-10 results in a significant change in transparency that can reach 25-30% in a field of tension of up to 5 k/m.
деление тяжелых ядер	fission of heavy nuclei	Нейтроны выделяются во множестве различных ядерных реакций, но лишь две из них – деление тяжелых ядер и каскадно-испарительные реакции – обладают удачным сочетанием выхода нейтронов и низкого энерговыделения на одну реакцию.	Neutrons are selected in many various nuclear reactions, but only two of them—fission of heavy nuclei and spallation reactions—possess a favorable combination of a high neutron yield and low energy release per reaction event.	Neutrons are distinguished in many different nuclear reactions, but only two of them-the division of heavy nuclei and cascading-gospel reactions-have a successful combination of neutron and low energy release to one reaction.	Neutrons are released in many different nuclear reactions, but only two of them  the division of heavy nuclei and cascading-vaporative reactions  have a successful combination of neutron output and low energy output per reaction.	The neutrons stand out in a variety of different nuclear reactions, but only two of them – the division of heavy kernels and cascade-vascular reactions – have a successful combination of neutron output and low energy output by one reaction.
дефектная структура кристалла	defect crystal structure	В зависимости от тепловых условий роста слитка образуется дефектная структура кристалла, которая включает в себя преципитаты, дислокационные петли или микропоры [17].	The defect crystal structure is formed depending on the thermal ingot growth conditions; it includes precipitates, dislocation loops, or micropores [17].	Depending on the thermal conditions of growth of the ingot, a defective structure of the crystal is formed, which includes precipitates, dislocation loops or micropores [17].	Depending on the heat conditions of the growth of the alloy, a defective crystal structure is formed, which includes precapitates, dislocation loops or micropores [17].	Depending on the heat conditions of the ingot, a defective structure of the crystal is formed, which includes precystites, position loops or microlines [17].
динамика конденсированных сред	dynamics of condensed media	Атомная, молекулярная и магнитная динамика конденсированных сред дает наиболее полную и детальную информацию о микроскопической природе и параметрах соответствующих взаимодействий.	The atomic, molecular, and magnetic dynamics of condensed media yields most complete and detailed information about the microscopic nature and parameters of the corresponding interactions.	Atomic, molecular and magnetic dynamics of condensed media gives the most complete and detailed information about the microscopic nature and parameters of the corresponding interactions.	The atomic, molecular and magnetic dynamics of condensed media provide the most complete and detailed information about the microscopic nature and parameters of the corresponding interactions.	The atomic, molecular and magnetic dynamics of condensed environments provide the most comprehensive and detailed information on the microscopic nature and the parameters of the respective interactions.
