Russian_term	English_term	Russian_sentence	English_sentence_expert	en_google Russian_sentence	en_nllb Russian_sentence	en_marian Russian_sentence	consistency
экспериментальная установка	experimental setup	ЭКСПЕРИМЕНТАЛЬНАЯ УСТАНОВКА	EXPERIMENTAL SETUP	Experimental installation	experimental installation	experimental installation	True
экспериментальная установка	experimental setup	Рис. 1. Схема эксперимента (а): 1 – волоконный лазер, 2 – коллиматорная головка лазера, 3, 4 – полупрозрачные диэлектрические зеркала, 5 – объектив, 6 – медный цилиндр – мишень, 7 двигатель, 8 – шестикоординатный позиционер, 9 – контроллер, 10 – панель управления, 11 – ПК, 12 – спектрофотометр оптический, 13 – ПЗС-камера, 14 – детектор рентгеновского излучения, 15 – рентгеновский спектрофотометр Amptek, 16 – защитный пластиковый кожух, 17 – компрессор. Экспериментальная установка (б).	Fig. 1. (a) Schematic of the experiment: (1) fiber laser, (2) collimating head, (3, 4) semitransparent dielectric mirrors, (5) objective, (6) copper cylinder (target), (7) engine, (8) six-coordinate positioner, (9) controller, (10) control panel, (11) PC, (12) optical spectrophotometer, (13) CCD camera, (14) X-ray detector, (15) X-ray spectrophotometer Amptek, (16) protective plastic housing, and (17) compressor. (b) Experimental setup.	rice.1. The experimental scheme (a): 1 - a fiber laser, 2 - laser collimator head, 3, 4 - translucent dielectric mirrors, 5 - lens, 6 - copper cylinder - target, 7 engine, 8 - six -coordinate positioner, 9 - controller, controller, controller, controller, controller, 910-11-PC, 12-optical spectrophotometer, 13-PZS-Kamer, 14-X-ray detector, 15-X-ray spectrophotometer Amptek, 16-protective plastic casing, 17-compressor.Experimental installation (b).	Figure 1. scheme of the experiment (a): 1  fiber laser, 2  collimator laser head, 3, 4  semi-transparent dielectric mirrors, 5  lenses, 6  copper cylinder  target, 7 engine, 8  six-coordinate positioner, 9  controller, 10  control panel, 11  pc, 12  spectrophotometer optical, 13  pzs-camera, 14  detector of x-ray radiation, 15  x-ray spectrophotometer amek, 16  protective plastic leather, 17  compressor. experimental installation (b).	Figure 1. Experimental diagram (a): 1 is a fibre laser, 2 is a laser collimator head, 3, 4 is a semi-translutable dielectric mirror, 5 is an lens, 6 is a copper cylinder is a target, 7 is an engine, 8 is a six-coordinate positionr, 9 is a controller, 10 is a control panel, 11 is a pk, 12 is an optical spectrophotometer, 13 is a psc camera, 14 is an X-ray radiation detector, 15 is an X-ray spectrophotometer amptek, 16 is a protective plastic skin, 17 is a compressor.	True
электронно-микроскопическое изображение	electron microscopy image	На рис. 1а представлено электронно-микроскопическое изображение поперечного среза образца после холодной деформации прокаткой.	Figure 1a shows a cross-sectional electron microscopy image of the sample strained by cold rolling.	In Fig.1A is presented an electron-microscopic image of the transverse cut of the sample after cold deformation by rolling.	Figure 1a shows an electronic-microscopic image of the cross-sectional cut of the sample after cold deformation by the rope.	Figure 1a presents an electron microscopic representation of the transverse cut of the sample after the cold deformation of the rolling.	True
электронно-микроскопическое изображение	electron microscopy image	На рис. 1б представлено электронно-микроскопическое изображение поперечного среза образца после рекристаллизационного отжига.	Figure 1b presents a cross-sectional electron microscopy image of a sample subjected to recrystallization annealing.	In Fig.1B is presented an electron-microscopic image of the transverse cut of the sample after recrystallization annealing.	Figure 1b shows an electronic-microscopic image of the cross-sectional cut of the sample after recrystallization.	Figure 1b presents an electron microscopic representation of the cross-sectional cut of the sample after the redistal burn.	True
электронно-микроскопическое изображение	electron microscopy image	Электронно-микроскопическое изображение кремниевой подложки с регулярной системой Si-вискеров одинаковой высоты с глобулами Si–Au на вершинах.	Electron microscopy image of the silicon substrate with a regular system of Si whiskers of the same height with Si–Au globules at the tips.	The electron-microscopic image of silicon substrate with the regular SI-visquers system of the same height with the SI-AU globes at the peaks.	Electronic microscopic image of a silicon substrate with a regular system of si-visker of equal height with siau globes on the tops.	An electron microscopic image of a silicon substrate with a regular sy-wisker system of the same height with si-au globes on top.	True
электронно-микроскопическое изображение	electron microscopy image	Рис. 2. Электронно-микроскопическое изображение (а) и изображение, полученное с помощью оптического микроскопа (б), синтезированного ансамбля микрокристаллов ZnO (вид на обоих снимках – по нормали к подложке).	Fig. 2. (a) Electron and (b) optical microscopy images of the synthesized ensemble of ZnO microcrystals (view along the normal to the substrate in both panels).	rice.2. The electron-microscopic image (a) and the image obtained using an optical microscope (b), a synthesized zno microcrystals ensemble (view in both pictures-normal to the substrate).	Figure 2. electronic microscopic image (a) and image obtained using an optical microscope (b), synthesized synthesis of zno microcrystals (view on both images  by normal to substrate).	Figure 2. An electron microscopic image (a) and an optical microscope (b), a synthesized ensemble of microcrystals zno (the view on both images was normal to the substrate).	False
длина свободного пробега	free path	Длина свободного пробега этих электронов при высоких напряжениях превышает размеры слоя и плазмы.	The mean free path of these electrons at high voltages exceeds the layer and plasma sizes.	The length of the free run of these electrons at high voltages exceeds the size of the layer and plasma.	The length of the free path of these electrons at high voltages is greater than the size of the layer and plasma.	The free mileage of these electrons at high voltages exceeds the size of the layer and plasma.	True
длина свободного пробега	free path	Быстрые атомы движутся в кинетическом режиме, так как их длина свободного пробега заметно превышает длину перезарядки.	Fast atoms move in the kinetic mode, because their mean free path exceeds significantly the charge-exchange length.	Fast atoms move in kinetic mode, since their length of free run noticeably exceeds the length of the recharge.	The fast atoms move in kinetic mode because their free-flow length is significantly longer than the recharge length.	The fast atoms move in kinetic mode, as their free mileage is markedly longer than the recharge.	True
длина свободного пробега	free path	где – средняя относительная скорость соударения молекул примеси и несущего газа (внешней атмосферы), μ – приведенная масса сталкивающихся частиц, kB – постоянная Больцмана, – средняя длина свободного пробега молекул пара в несущем газе (предполагается, что концентрация пара много меньше концентрации несущего инертного газа, ns << n0), σ – сечение столкновения молекулы пара с молекулами несущего газа.	where is the average relative collisional rate of impurity and carrier gas (external atmosphere) molecules, μ is the reduced mass of colliding particles, kB is the Boltzmann constant, is the mean free path of vapor molecules in the carrier gas (it is assumed that vapor concentration is much lower than the carrier inert gas concentration, ns << n0), and σ is the collisional cross section for vapor and carrier-gas molecules.	where is the average relative speed of the collision of the molecules of the impurities and the bearing gas (external atmosphere), μ is the given mass of colliding particles, KB is the constant Bolzman - the average length of the free molecules of steam in the load -bearing gas (it is assumed that the concentration of steam is much less than the concentration of the supporting inert gas, NS << N0), σ is the section of the collision of a steam molecule with molecules of carrier gas.	where  the average relative rate of collision of mixing molecules and the carrier gas (external atmosphere), μ  the given mass of the colliding particles, kb  the constant of the boltman,  the average length of the free path of the vapor molecules in the carrier gas (it is assumed that the vapor concentration is much less than the concentration of the carrier inert gas, ns << n0), σ  the intersection of the vapor molecule's collision with the carrier gas molecules.	where the mean relative velocity of the impact of the contamination molecules and the load gas (external atmosphere), μ – the mass of the collision, kb – the constant boltzman – is the average free run of the vapour molecules in the load gas (the concentration of the vapour is assumed to be much less than the concentration of the load inert gas, ns < < n0) – the collision of the vapour molecule with the load gas molecules.	True
длина свободного пробега	free path	где σ – сечение фотоионизации, зависящее от энергии возбуждающих фотонов hν, T – эффективность детектора при кинетической энергии фотоэлектронов Ek, ρ – атомарная плотность материла (атомы/см3) на глубине образца с координатой z, λ – неупругая длина свободного пробега фотоэлектронов, θ – угол фотоэмиссии относительно нормали к поверхности образца.	where σ is the photoionization cross section dependent on the excitation photon energy hν, T is the detector efficiency at the photoelectron kinetic energy Ek, ρ is the atomic density of the material (in atoms/cm3) at the sample depth with a coordinate z, λ is the inelastic photoelectron mean free path, and θ is the photoemission angle with respect to the normal to the sample surface.	where σ is the cross section of the photoionization, depending on the energy of exciting photons Ha, t - the effectiveness of the detector during the kinetic energy of the photovlectrons EK, ρ is the atomic density of the material (atoms/cm3) at the depth of the sample with the coordinate z, λ - unrelated the length of the free run of photoelectrons, θ -The angle of photoemission relative to normal to the surface of the sample.	where σ  is the photoionization section dependent on the energy of the excited photons hν, t  detector efficiency at the kinetic energy of the photoelectrons ek, ρ  the atomic density of the material (atoms/cm3) at the sample depth with the coordinate z, λ  the unstable length of the free path of the photoelectrons, θ  the angle of photoemission relative to the sample surface is normal.	where the photoionization section, powered by the energy of the exclamating photons h, t – the detector efficiency of the kinetic energy of the photoelectronics ek, ~ – the atom density of the matter (atoms/cm3) at the depth of the sample at the coordinates z, ~ the non-resilient length of the free distance of the photoelectronics, ________________ – the angle of the photomission relative to the surface of the sample.	True
длина свободного пробега	free path	где – количество атомов углерода, соединенных соответственно с фтором и углеродом в верхней полусфере молекулы; – количество атомов углерода, соединенных с фтором и углеродом в нижней полусфере молекулы; – количество и толщина слоев, на которые была разбита молекула для поиска интенсивностей (рис. 1); λ – неупругая длина свободного пробега, которая в свою очередь зависит от кинетической энергии электрона; – коэффициент перед искомой функцией, учитывающий неточности используемой модели, а также многократное и упругое рассеяние электронов.	where nF and nC are the numbers of carbon atoms, bound, respectively, with fluorine and carbon in the upper molecule hemisphere; and are the numbers of carbon atoms, bound, respectively, with fluorine and carbon in the lower molecule hemisphere; and are, respectively, the number of the layers into which the molecule was divided to search for the intensities and the thickness of these layers (Fig. 1); λ is the inelastic mean free path, which, in turn, depends on the electron kinetic energy; and A is the coefficient at the desired function, taking into account the errors of the used model, as well as multiple and elastic electron scatterings.	where - the amount of carbon atoms connected respectively with the fluorine and carbon in the upper hemisphere of the molecule;- the number of carbon atoms connected to fluorine and carbon in the lower hemisphere of the molecule;- the number and thickness of the layers into which the molecule was divided to search for intensities (Fig. 1);λ is the unlucky length of the free mileage, which in turn depends on the kinetic energy of the electron;- the coefficient before the desired function, taking into account the inaccuracies of the used model, as well as multiple and elastic dispersion of electrons.	where  the number of carbon atoms connected to the top half of the molecule by the hydrogen and carbon;  the number of carbon atoms connected to the top half of the molecule by the hydrogen and carbon;  the number and thickness of the layers to which the molecule has been broken down to find intensities (Fig. 1); λ  the unstable length of the free path, which in turn depends on the kinetic energy of the electron;  the coefficient before the search function, taking into account the inaccuracy of the model used, as well as the multiple and flexible dispersion of electrons.	where – the amount of carbon atoms connected respectively to the fluorine and carbon in the upper hemisphere of the molecule; – the amount of carbon atoms connected to the fluorine and carbon in the lower hemisphere of the molecule; – the amount and thickness of layers on which the molecule was broken to search for intensity (Figure 1); ~ the unsatisfying length of free distance, which in turn depends on the kinetic energy of the electron; – the ratio before the desired function, which takes into account the inaccuracy of the model used, as well as the multiple and persistent dispersion of electrons.	True
длина свободного пробега	free path	Экспериментально измеряемой величиной является время регистрации максимума диффузионного сигнала  t = L2/(4A·D(T)), где A = 1/2 для “точечного”, A = 3/2 для “плоского” источника; L – размер образца; D – коэффициент диффузии D(T) = lv/3; l – длина свободного пробега НФ; v – средняя по поляризациям скорость звука.	The time of detection of the diffusion signal maximum t = L2/(4A × D(T)) is the experimentally measured parameter. Here, A = 1/2 and 3/2 for the point and flat sources, respectively; L is the sample size; D is the diffusion coefficient, D(T) = lv/3; l is the NP mean free path; and v is the polarization-averaged speed of sound.	The experimentally measured value is the time of registration of the maximum of the diffusion signal t = l2/(4a · d (t)), where a = 1/2 for “spot”, a = 3/2 for the “flat” source;l is the size of the sample;D - diffusion coefficient D (t) = LV/3;l is the length of the free mileage of the NF;V is the average sound speed in polarization.	The experimentally measured quantity is the time of recording the maximum diffusion signal t = l2/(4a·d(t) where a = 1/2 for point, a = 3/2 for flat source; l  sample size; d  diffusion coefficient d(t) = lv/3; l  length of free run of nf; v  average by polarization of sound speed.	The experimentally measured value is the time of recording the maximum diffusion signal t = l2/(4a·d(t)), where a = 1/2 for the reference source, a = 3/2 for the flat source, l = the size of the sample, d = the diffusion factor d(t) = lv/3; l = the free run length nf; v = the average polarization speed of sound.	True
длина свободного пробега	free path	где l – эффективная длина свободного пробега НФ в слоистой периодической структуре с периодом R.	where l is the effective NP mean free path in a layered periodic structure with a period R.	where L is the effective length of the free run of the NF in the layered periodic structure with the period of R.	where l  is the effective length of the free run of nf in a layered periodic structure with period r.	where l is the effective free run length of nf in the laminated periodic structure with the period r.	True
длина свободного пробега	free path	При этом длина свободного пробега относительно фонон-фононного взаимодействия для референтной группы фононов  l*(T)3.8К = ( D(T) · *)1/2 = 1–0.9 см.	In this case, the mean free path relative to the phonon–phonon interaction for the reference phonons group is l*(T)3.8K = (D(T) × τ*)1/2 = 1–0.9 cm.	In this case, the length of the free run relative to the phonon-phonon interaction for the reference group of the phonons l*(t) 3.8k = (d (t) · *) 1/2 = 1–0.9 cm.	whereas the length of the free path relative to the phonon-phonon interaction for the reference group of phonons l*(t) 3.8k = (d(t) · *) 1/2 = 10.9 cm.	with a free running distance relative to the background background interaction for the background reference group l*(t)3.8k = (d(t) · *1)/2 = 1 - 0.9 cm.	True
длительность импульса	pulse duration	Возбуждение газовых смесей (Ar+CCl4) производилось импульсным пучком быстрых электронов ускорителя РАДАН-220. Энергия электронов пучка ~220 keV, длительность импульса ~5 ns.	Gas mixtures (Ar + CCl4) were excited by a pulsed high-energy electron beam from a RADAN-220 accelerator with an electron energy of ~220 keV and a pulse width of ~5 ns.	The excitation of gas mixtures (AR+CCL4) was carried out by a pulsed beam of rapid electrons of the Radan-220 accelerator.Energy Electron Board ~ 220 KEV, pulse duration ~ 5 ns.	The excitation of gas mixtures (ar+ccl4) was carried out by an impulse beam of fast electrons of the accelerator radan-220. the energy of the electrons of the beam is ~220 kev, the pulse duration is ~5 ns.	The exclamation of gas mixtures (ar+ccl4) was produced by a pulse beam of fast radine booster electrons 220.	False
длительность импульса	pulse duration	Сверхвысокая яркость пучка и короткая длительность импульса РЛСЭ существенно расширяют границы применимости традиционных методов белковой кристаллографии и позволяют изучать структуры сверхмалых микро- и наноразмерных образцов, а также изучать структурную динамику белковых макромолекул во временных интервалах от миллисекунд до десятков фемтосекунд.	The ultrahigh beam brightness and short XFEL pulse duration expand significantly the applicability limits of the conventional methods of protein crystallography and make it possible to study the structure of extremely small samples of micro- and nanosizes and analyze the structural dynamics of protein macromolecules in time intervals from several milliseconds to several tens of femtoseconds.	The ultra-high brightness of the bundle and the short duration of the RLSE pulse significantly expand the boundaries of the applicability of traditional protein crystallography methods and allow you to study the structures of ultra-small micro- and nano-sized samples, as well as study the structural dynamics of protein macromolecules in temporary intervals from milliseconds to dozens of femtoseconds.	The superhigh brightness of the beam and the short pulse duration of the rlsse significantly expand the limits of the applicability of traditional methods of protein crystallography and allow to study the structures of super-small micro and nanoscale samples, as well as study the structural dynamics of protein macromolecules at time intervals from milliseconds to tens of femtoseconds.	The extreme brightness of the beam and the short duration of the pulse relse significantly extend the limits of traditional protein crystallography techniques and allow the study of the structures of ultra-small micro- and nano-scale samples, as well as the structural dynamics of protein macromolecles in time intervals from milliseconds to dozens of femtoseconds.	True
длительность импульса	pulse duration	В настоящее время оборудование станции вводится в эксплуатацию, проводятся исследования пространственных и временных характеристик лазерных импульсов, генерируемых ондулятором SASE3, режимов работы ондулятора и исследовательских инструментов станции, в частности определены режимы, обеспечивающие высокую степень пространственной когерентности до 90% и среднюю длительность импульса около 10 фс [136].	Currently the equipment of the station is being put into operation, the spatial and temporal characteristics of the laser pulses generated by the SASE3 undulator are studied, and the operation regimes of the undulator and research tools of the station are analyzed; in particular, regimes providing a high degree of spatial coherence (up to 90%) and average pulse duration of about 10 fs were found [136].	Currently, the equipment of the station is commissioned, studies of spatial and temporal characteristics of laser impulses generated by the SASE3 cancer, the operating modes of the station and research instruments of the station, in particular, the regimes that provide a high degree of spatial coherence of up to 90% and the average pulse duration of about 10 FS[136].	Currently, the station equipment is being put into operation, the spaces and temporal characteristics of the laser pulses generated by the sase3 ondulator, the operating modes of the ondulator and the station's research instruments are being studied, in particular, the modes that ensure a high degree of spatial coherence up to 90% and an average pulse duration of about 10 fs [136].	At present, the station &apos; s equipment is being put into operation, and studies are being carried out on the spatial and temporal characteristics of laser pulses generated by the sase3 supercharger, the soak mode and the research tools of the station, in particular the regimes that provide a high degree of spatial coherence of up to 90 per cent and the average pulse duration of about 10 fs [136].	True
длительность импульса	pulse duration	Лазерный источник в НИЦ КИ имеет следующие характеристики: центральная длина волны – 800 нм, ширина спектра 750–850 нм, минимальная длительность импульса 25 фс, частота следования импульсов 10 Гц, энергия в импульсе – до 7 Дж (рис. 1а).	The laser source at the NRC KI has the following characteristics: the central wavelength of 800 nm, the spectral width in the range of 750–850 nm, the minimum pulse width of 25 fs, the pulse repetition rate of 10 Hz, and the pulse energy of up to 7 J (Fig. 1a).	The laser source in the NIC ki has the following characteristics: the central wavelength is 800 nm, the spectrum width is 750–850 Nm, the minimum pulse duration of 25 FS, the pulse frequency of 10 Hz, the energy in the pulse is up to 7 J (Fig. 1a).	The laser source in the nizzles has the following characteristics: the central wavelength  800 nm, the spectrum width 750 850 nm, the minimum pulse duration of 25 fs, the pulse flow frequency 10 gz, the energy in the pulse  to 7 j (fig. 1a).	The laser source in the ki prostrate has the following characteristics: central wave length - 800 nm, spectrum width 750 - 850 nm, minimum pulse duration 25 fs, pulse frequency 10 Hz, pulse energy - up to 7 g (figure 1a).	False
длительность импульса	pulse duration	Известно, что оптимальная промежуточная длительность импульса должна соответствовать времени термализации нейтронов в замедлителе.	It is known that the optimal intermediate pulse duration should correspond to the neutron thermalization time in the moderator.	It is known that the optimal intermediate duration of the pulse should correspond to the time of thermalization of neutrons in the slotter.	It's known that the optimal interval of momentum should be the time of neutron thermalisation in the slower.	It is known that the optimal intermediate pulse duration should correspond to the time of thermalization of the neutrons in the retarder.	True
длительность импульса	pulse duration	Так, при углах рассеяния 2°  2θ  10° и работе в диапазоне 1.7–2.7 эВ длительность импульса на образце составит всего лишь десятки микросекунд.	In particular, at scattering angles 2°  2θ  10° and neutron energies in the range of 1.7–2.7 eV, the pulse duration on the sample is only several tens of microseconds.	So, at the angles of scattering 2 °  2θ  10 ° and the work in the range of 1.7–2.7 EV, the duration of the pulse on the sample will be only dozens of microseconds.	So, with the angles of dispersion of 2°  2θ  10° and the work in the range of 1.72.7 ev the pulse length on the sample will be only tens of microseconds.	For example, if the angle of dissipation is 2° 2° 10° and the operating range of 1.7 - 2.7 Ev, the pulse on the sample will be only dozens of microseconds.	True
длительность импульса	pulse duration	Требуемая длительность импульса определяется заданным приборным разрешением.	The desired pulse duration is determined by the specified instrumental resolution.	The required pulse duration is determined by a given dietary resolution.	The required pulse duration is determined by the device's specified resolution.	The required pulse duration is determined by the specified instrument resolution.	True
длительность импульса	pulse duration	Таким образом, длительность импульса равна разнице во времени пролета на 15 метрах для нейтронов с длинами волн 5 и 5.35 Å (107% от 5 Å).	Thus, the pulse duration is equal to the difference in the times of flight on a distance of 15 m for the neutrons with wavelengths of 5 and 5.35 Å (107% of 5 Å).	Thus, the duration of the pulse is equal to the difference in the span of 15 meters for neutrons with wavelengths of 5 and 5.35 å (107% of 5 å).	Thus, the pulse length is equal to the difference in flight time of 15 meters for neutrons with wavelengths of 5 and 5.35 å (107% of 5 å).	Thus, the pulse duration is equal to the difference in the passing time of 15 metres for neutrons with wave lengths 5 and 5.35 ó (107 per cent of 5 ó).	True
длительность импульса	pulse duration	Таким образом, оптимальная длительность импульса, определенная из нужд эксперимента, составляет 1.33 мс.	Thus, the pulse duration optimal for the experiment is 1.33 ms.	Thus, the optimal pulse duration, determined from the needs of the experiment, is 1.33 ms.	So the optimal pulse length, determined from the needs of the experiment, is 1.33 ms.	Thus, the optimal pulse duration determined by the needs of the experiment is 1.33 ms.	True
длительность импульса	pulse duration	Из соображений достижения максимума светосилы оптимальная длительность импульса должна совпадать со временем модерации нейтронов заданной длины волны.	To obtain maximum luminosity, the optimal pulse duration should coincide with the moderation time for neutrons with a specified wavelength.	For reasons of achieving a maximum of the coil, the optimal pulse duration should coincide with the time of moderation of neutrons of a given wavelength.	For the purposes of achieving maximum light strength, the optimal pulse duration should coincide with the time of neutron moderation of a given wavelength.	The optimal pulse duration shall coincide with the time of the upgrade of the neutrons of the specified wave length for the purpose of achieving maximum light intensity.	True
лазер на свободных электронах	free-electron laser	С 2017 г. в немецком городе Гамбург успешно работает крупнейшая международная установка для структурных исследований класса мегасайенс – Европейский рентгеновский лазер на свободных электронах.	Since 2017, the largest international facility for structural studies of mega-science class—European X-ray Free-Electron Laser—has been successfully operating in Hamburg (Germany).	Since 2017, the largest international installation for structural research of the Megasayens class - European X -ray laser with free electrons has been successfully working in the German city of Hamburg.	Since 2017, the largest international installation for structural studies of the megacyence class  European X-ray laser on free electrons has been successfully operating in the German city of Hamburg.	Since 2017, the German city of hamburg has successfully operated the largest international plant for structural research of the Megasaiens class, a European X-ray laser on free electrons.	True
лазер на свободных электронах	free-electron laser	ЕВРОПЕЙСКИЙ РЕНТГЕНОВСКИЙ ЛАЗЕР НА СВОБОДНЫХ ЭЛЕКТРОНАХ	European X-ray Free-Electron Laser	European X -ray laser on free electrons	European X-ray laser on free electrons	European X-ray laser on free electrons	True
лазер на свободных электронах	free-electron laser	Европейский рентгеновский лазер на свободных электронах	European X-ray Free-Electron Laser	European X -ray laser on free electrons	European X-ray laser on free electrons	European X-ray laser on free electrons	True
лазер на свободных электронах	free-electron laser	Первого сентября 2017 г. в пригороде немецкого города Гамбург Шенефельде был торжественно открыт Европейский рентгеновский лазер на свободных электронах (European X-ray Free Electron Laser, XFEL).	On September 1, 2017, the European X-ray Free Electron Laser (XFEL) was inaugurated in Schönefelde, a surburb of Hamburg (Germany).	On the first of September 2017, in a suburb of the German city of Hamburg Schenefelde, the European X-ray laser on free electrons (European X-Ray Free Electron Laser, XFEL) was solemnly opened.	On September 1, 2017, a European free electron x-ray laser (xfel) was officially opened in the German city of Hamburg.	On September 1, 2017, a European X-ray laser on free electrons (European x-ray free electron laser, xfel) was inaugurated in the suburbs of the German city of hamburg.	False
лазер на свободных электронах	free-electron laser	Что же такое лазер на свободных электронах и почему он имеет такие размеры, какими характеристиками он обладает и чем отличается от обычного лазера? Лазер (LASER) – это английская аббревиатура от Light Amplification by Stimulated Emission of Radiation – усиление света за счет вынужденного излучения.	A number of the questions arise: what is the X-ray free-electron laser? why does it have such sizes? what characteristics does it have? what is its difference from a conventional laser? Laser is an acronym for Light Amplification by Stimulated Emission of Radiation.	What is a laser on free electrons and why does it have such sizes, what characteristics does it possess and how does it differ from a regular laser?Laser (Laser) is an English abbreviation from Light Amplification by Stimulated Emission of Radiation - strengthening light due to forced radiation.	What is a laser on free electrons and why is it so large, what are its characteristics and what is it different from a regular laser?	What is a laser on free electrons and why does it have such dimensions, characteristics as it has and what is different from a conventional laser? The laser is an English abbreviation from the light abstraction by the gradual emission of radiation – an increase in light from forced radiation.	True
лазер на свободных электронах	free-electron laser	Одна из немногих альтернатив классической схемы лазера – лазер на свободных электронах (ЛСЭ).	One of few alternatives for the classical laser scheme is the free-electron laser (FEL).	One of the few alternatives to the classic laser scheme is a laser on free electrons (LSE).	One of the few alternatives to the classic  laser scheme on free electrons (LSE).	One of the few alternatives to the classical laser pattern is a laser on free electrons (Lse).	True
лазер на свободных электронах	free-electron laser	ЕВРОПЕЙСКИЙ РЕНТГЕНОВСКИЙ ЛАЗЕР НА СВОБОДНЫХ ЭЛЕКТРОНАХ	European X-ray Free-Electron Laser	European X -ray laser on free electrons	European X-ray laser on free electrons	European X-ray laser on free electrons	True
лазер на свободных электронах	free-electron laser	Европейский лазер на свободных электронах открывает совершенно новую область временных масштабов для структурной диагностики, недоступную другим методам, когда мы сможем изучать динамику твердых тел с атомарным пространственным разрешением одновременно с пикосекудным и фемтосекундным разрешением.	The European X-ray free-electron laser opens a completely new range of time scales for structural diagnostics (inaccessible for other methods), where one will be able to study the dynamics of solids with atomic spatial resolution and simultaneously with pico- and femtosecond resolution.	The European laser on free electrons opens up a completely new area of time proportions for structural diagnostics, inaccessible to other methods, when we can study the dynamics of solid bodies with atomic spatial resolution simultaneously with picosekudnaya and femtosecond resolution.	The European laser on free electrons is opening up a whole new field of time scale for structural diagnostics that no other method has ever been able to do, where we can study the dynamics of solids with atomic spatial resolution at the same time as picosecond and femtosecond resolution.	A European laser on free electrons opens up a completely new time-scale area for structural diagnostics that is not available in other methods when we can study the dynamics of solids with an atomar resolution of space at the same time as a picoeced and femtosecond resolution.	True
лазер на свободных электронах	free-electron laser	Участие Российской Федерации в международных проектах “мегасайенс”, реализуемых за рубежом, таких как XFEL (Европейский рентгеновский лазер на свободных электронах, г. Гамбург, Германия) и ESRF (Европейский центр синхротронных исследований, г. Гренобль, Франция), позволило приобрести уникальные компетенции и опыт, сформировать необходимый научно-технический и кадровый задел, получить доступ к определенным технологиям и техническим решениям, которые также послужили основой для разработки настоящего проекта.	The participation of the Russian Federation in the international megascience projects implemented abroad, such as the European XFEL (Hamburg, Germany) and European Synchrotron Radiation Facility (ESRF, Grenoble, France), made it possible to acquire unique competences and experience; form the necessary scientific, technical, and personnel reserve; and gain access to certain technologies and technical solutions, which also served a basis for developing this project.	The participation of the Russian Federation in international projects “Megasayens”, implemented abroad, such as XFEL (European X -ray laser on free electrons, Gamburg, Germany) and ESRF (European Synchrotron Research Center, Grenobl, France), allowed to acquire unique competenciesAnd the experience, to form the necessary scientific, technical and personnel caption, gain access to certain technologies and technical solutions, which also served as the basis for the development of this project.	The participation of the Russian Federation in international projects megaSayens implemented abroad, such as xfel (European X-ray laser on free electrons, Hamburg, Germany) and esrf (European synchrotron research center, Grenoble, France), allowed to acquire unique competencies and experience, to form the necessary scientific and technical and human resources, to access certain technologies and technical solutions, which also served as the basis for the development of this project.	"The Russian Federation &apos; s participation in the international projects of ""megasaiens"" carried out abroad, such as xfel (European X-ray laser on free electrons, hamburg, Hermania) and ezrf (European Centre for Synchrotronic Studies, Grenoble, France), has provided unique expertise and experience, created the necessary scientific, technical and human resources, and gained access to certain technologies and technical solutions, which have also served as the basis for the development of this project."	False
лазер на свободных электронах	free-electron laser	Лазер на свободных электронах (ЛСЭ) – уникальная установка класса “мегасайенс”, позволяющая генерировать фемтосекундные импульсы гигаваттной мощности в различных спектральных диапазонах от терагерцового до рентгеновского [1, 2].	A free-electron laser (FEL) is a unique facility of megascience class, which makes it possible to generate femtosecond pulses of gigawatt power in different spectral ranges: from terahertz to X-ray [1, 2].	Laser on free electrons (LSE) is a unique installation of the Megasayens class, which allows generating femtosecond pulses of gigavattic power in various spectral ranges from teraring to x -ray [1, 2].	Laser on free electrons (LSE)  is a unique installation of the megaSayens class, which allows generating femtosecond pulses of gigawatts of power in different spectral ranges from terahermic to x-ray [1, 2].	"The laser on free electrons (Lse) is a unique class installation of ""megasaiens"" that produces femtosecond impulses of gigawatt power in different spectrum ranges from teracec to X-ray [1, 2]."	True
объем элементарной ячейки	unit-cell volume	Интересен постоянный вклад – объем элементарной ячейки VF, приходящийся на один ион фтора, рис. 2.	The constant contribution is of interest (unit-cell volume VF per fluorine ion, Fig. 2).	The constant contribution is interesting - the volume of the elementary cell VF, which arrives at one ion of fluorine, Fig.2.	The constant contribution is the volume of the elementary cell vf, which is per one fluorine ion, Figure 2.	An interesting constant contribution is the volume of the elemental vf cell per ion fluorine, figure 2.	True
объем элементарной ячейки	unit-cell volume	Здесь - объем элементарной ячейки, ,  - матричный элемент оператора дипольного момента кристалла, вычисленный на волновых функциях экситонов, ,   энергии экситонов при , соответствующих -й и -й экситонным зонам.	Here,  is the unit-cell volume, ,  is the matrix element of the dipole moment operator of the crystal calculated on the exciton wave functions, and  and  are the exciton energies at  corresponding to the th and th exciton bands, respectively.	Here is the volume of an elementary cell, - a matrix element of the operator of the dipole moment of the crystal, calculated on the wave functions of excitons, the energy of excitons with the corresponding -y and -ie exciton zones.	Here is the volume of the elementary cell,, the matrix element of the crystal dipole moment operator, calculated on the wave functions of the exitons, the energy of the exitons at, corresponding to the -y and -y exitons.	Here is the volume of the elementary cell, the matrix element of the dipole moment operator of the crystal calculated by the wave functions of the exitons, the energy of the exitons at the corresponding and exitonal zones.	True
